,year_film,year_ceremony,ceremony,category,name,film,winner,title_id
4049,1963,1964,36,BEST PICTURE,"Tony Richardson, Producer",Tom Jones,True,tt0057590
4114,1964,1965,37,CINEMATOGRAPHY (Black-and-White),Walter Lassally,Zorba the Greek,True,
4118,1964,1965,37,CINEMATOGRAPHY (Color),Harry Stradling,My Fair Lady,True,tt0058385
4133,1964,1965,37,DIRECTING,George Cukor,My Fair Lady,True,tt0058385
4173,1964,1965,37,BEST PICTURE,"Jack L. Warner, Producer",My Fair Lady,True,tt0058385
4236,1965,1966,38,CINEMATOGRAPHY (Black-and-White),Ernest Laszlo,Ship of Fools,True,
4238,1965,1966,38,CINEMATOGRAPHY (Color),Freddie Young,Doctor Zhivago,True,
4255,1965,1966,38,DIRECTING,Robert Wise,The Sound of Music,True,
4295,1965,1966,38,BEST PICTURE,"Robert Wise, Producer",The Sound of Music,True,
4361,1966,1967,39,CINEMATOGRAPHY (Black-and-White),Haskell Wexler,Who's Afraid of Virginia Woolf?,True,
4364,1966,1967,39,CINEMATOGRAPHY (Color),Ted Moore,A Man for All Seasons,True,
4379,1966,1967,39,DIRECTING,Fred Zinnemann,A Man for All Seasons,True,
4418,1966,1967,39,BEST PICTURE,"Fred Zinnemann, Producer",A Man for All Seasons,True,
4487,1967,1968,40,DIRECTING,Mike Nichols,The Graduate,True,
4530,1967,1968,40,BEST PICTURE,"Walter Mirisch, Producer",In the Heat of the Night,True,
4597,1968,1969,41,DIRECTING,Carol Reed,Oliver!,True,tt0063385
4637,1968,1969,41,BEST PICTURE,"John Woolf, Producer",Oliver!,True,tt0063385
4705,1969,1970,42,DIRECTING,John Schlesinger,Midnight Cowboy,True,
4746,1969,1970,42,BEST PICTURE,"Jerome Hellman, Producer",Midnight Cowboy,True,
4811,1970,1971,43,DIRECTING,Franklin J. Schaffner,Patton,True,
4852,1970,1971,43,BEST PICTURE,"Frank McCarthy, Producer",Patton,True,
4917,1971,1972,44,DIRECTING,William Friedkin,The French Connection,True,
4957,1971,1972,44,BEST PICTURE,"Philip D'Antoni, Producer",The French Connection,True,
5019,1972,1973,45,DIRECTING,Bob Fosse,Cabaret,True,tt5605730
5061,1972,1973,45,BEST PICTURE,"Albert S. Ruddy, Producer",The Godfather,True,
5127,1973,1974,46,DIRECTING,George Roy Hill,The Sting,True,
5164,1973,1974,46,BEST PICTURE,"Tony Bill, Michael Phillips and Julia Phillips, Producers",The Sting,True,
5228,1974,1975,47,DIRECTING,Francis Ford Coppola,The Godfather Part II,True,
5266,1974,1975,47,BEST PICTURE,"Francis Ford Coppola, Producer;  Gray Frederickson and Fred Roos, Co-Producers",The Godfather Part II,True,
5337,1975,1976,48,DIRECTING,Milos Forman,One Flew over the Cuckoo's Nest,True,
5375,1975,1976,48,BEST PICTURE,"Saul Zaentz and Michael Douglas, Producers",One Flew over the Cuckoo's Nest,True,
5443,1976,1977,49,DIRECTING,John G. Avildsen,Rocky,True,tt0814295
5481,1976,1977,49,BEST PICTURE,"Irwin Winkler and Robert Chartoff, Producers",Rocky,True,tt0814295
5544,1977,1978,50,DIRECTING,Woody Allen,Annie Hall,True,
5582,1977,1978,50,BEST PICTURE,"Charles H. Joffe, Producer",Annie Hall,True,
5654,1978,1979,51,DIRECTING,Michael Cimino,The Deer Hunter,True,
5692,1978,1979,51,BEST PICTURE,"Barry Spikings, Michael Deeley, Michael Cimino and John Peverall, Producers",The Deer Hunter,True,
5762,1979,1980,52,DIRECTING,Robert Benton,Kramer vs. Kramer,True,
5800,1979,1980,52,BEST PICTURE,"Stanley R. Jaffe, Producer",Kramer vs. Kramer,True,
5871,1980,1981,53,DIRECTING,Robert Redford,Ordinary People,True,tt1422101
5907,1980,1981,53,BEST PICTURE,"Ronald L. Schwary, Producer",Ordinary People,True,tt1422101
5972,1981,1982,54,DIRECTING,Warren Beatty,Reds,True,tt0082979
6006,1981,1982,54,BEST PICTURE,"David Puttnam, Producer",Chariots of Fire,True,
6074,1982,1983,55,DIRECTING,Richard Attenborough,Gandhi,True,tt0083987
6113,1982,1983,55,BEST PICTURE,"Richard Attenborough, Producer",Gandhi,True,tt0083987
6187,1983,1984,56,DIRECTING,James L. Brooks,Terms of Endearment,True,
6225,1983,1984,56,BEST PICTURE,"James L. Brooks, Producer",Terms of Endearment,True,
6287,1984,1985,57,DIRECTING,Milos Forman,Amadeus,True,tt0086879
6328,1984,1985,57,BEST PICTURE,"Saul Zaentz, Producer",Amadeus,True,tt0086879
6397,1985,1986,58,DIRECTING,Sydney Pollack,Out of Africa,True,
6436,1985,1986,58,BEST PICTURE,"Sydney Pollack, Producer",Out of Africa,True,
6507,1986,1987,59,DIRECTING,Oliver Stone,Platoon,True,tt0091763
6545,1986,1987,59,BEST PICTURE,"Arnold Kopelson, Producer",Platoon,True,tt0091763
6613,1987,1988,60,DIRECTING,Bernardo Bertolucci,The Last Emperor,True,
6651,1987,1988,60,BEST PICTURE,"Jeremy Thomas, Producer",The Last Emperor,True,
6716,1988,1989,61,DIRECTING,Barry Levinson,Rain Man,True,
6752,1988,1989,61,BEST PICTURE,"Mark Johnson, Producer",Rain Man,True,
6819,1989,1990,62,DIRECTING,Oliver Stone,Born on the Fourth of July,True,
6857,1989,1990,62,BEST PICTURE,"Richard D. Zanuck and Lili Fini Zanuck, Producers",Driving Miss Daisy,True,tt4653310
6924,1990,1991,63,DIRECTING,Kevin Costner,Dances With Wolves,True,
6963,1990,1991,63,BEST PICTURE,"Jim Wilson and Kevin Costner, Producers",Dances With Wolves,True,
7035,1991,1992,64,DIRECTING,Jonathan Demme,The Silence of the Lambs,True,
7074,1991,1992,64,BEST PICTURE,"Edward Saxon, Kenneth Utt and Ron Bozman, Producers",The Silence of the Lambs,True,
7143,1992,1993,65,DIRECTING,Clint Eastwood,Unforgiven,True,
7181,1992,1993,65,BEST PICTURE,"Clint Eastwood, Producer",Unforgiven,True,
7254,1993,1994,66,DIRECTING,Steven Spielberg,Schindler's List,True,tt0108052
7291,1993,1994,66,BEST PICTURE,"Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers",Schindler's List,True,tt0108052
7361,1994,1995,67,DIRECTING,Robert Zemeckis,Forrest Gump,True,tt0109830
7398,1994,1995,67,BEST PICTURE,"Wendy Finerman, Steve Tisch and Steve Starkey, Producers",Forrest Gump,True,tt0109830
7473,1995,1996,68,DIRECTING,Mel Gibson,Braveheart,True,tt0015643
7517,1995,1996,68,BEST PICTURE,"Mel Gibson, Alan Ladd, Jr. and Bruce Davey, Producers",Braveheart,True,tt0015643
7588,1996,1997,69,DIRECTING,Anthony Minghella,The English Patient,True,
7631,1996,1997,69,BEST PICTURE,"Saul Zaentz, Producer",The English Patient,True,
7707,1997,1998,70,DIRECTING,James Cameron,Titanic,True,tt0120338
7750,1997,1998,70,BEST PICTURE,"James Cameron and Jon Landau, Producers",Titanic,True,tt0120338
7819,1998,1999,71,DIRECTING,Steven Spielberg,Saving Private Ryan,True,
7862,1998,1999,71,BEST PICTURE,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick and Marc Norman, Producers",Shakespeare in Love,True,tt0138097
7932,1999,2000,72,DIRECTING,Sam Mendes,American Beauty,True,tt0169547
7969,1999,2000,72,BEST PICTURE,"Bruce Cohen and Dan Jinks, Producers",American Beauty,True,tt0169547
8046,2000,2001,73,DIRECTING,Steven Soderbergh,Traffic,True,tt2939912
8083,2000,2001,73,BEST PICTURE,"Douglas Wick, David Franzoni and Branko Lustig, Producers",Gladiator,True,
8154,2001,2002,74,DIRECTING,Ron Howard,A Beautiful Mind,True,tt0268978
8190,2001,2002,74,BEST PICTURE,"Brian Grazer and Ron Howard, Producers",A Beautiful Mind,True,tt0268978
8271,2002,2003,75,DIRECTING,Roman Polanski,The Pianist,True,tt0102663
8304,2002,2003,75,BEST PICTURE,"Martin Richards, Producer",Chicago,True,tt0299658
8380,2003,2004,76,DIRECTING,Peter Jackson,The Lord of the Rings: The Return of the King,True,
8415,2003,2004,76,BEST PICTURE,"Barrie M. Osborne, Peter Jackson and Fran Walsh, Producers",The Lord of the Rings: The Return of the King,True,
8491,2004,2005,77,DIRECTING,Clint Eastwood,Million Dollar Baby,True,tt0405159
8530,2004,2005,77,BEST PICTURE,"Clint Eastwood, Albert S. Ruddy and Tom Rosenberg, Producers",Million Dollar Baby,True,tt0405159
8604,2005,2006,78,DIRECTING,Ang Lee,Brokeback Mountain,True,
8641,2005,2006,78,BEST PICTURE,"Paul Haggis and Cathy Schulman, Producers",Crash,True,tt0115964
8715,2006,2007,79,DIRECTING,Martin Scorsese,The Departed,True,
8752,2006,2007,79,BEST PICTURE,"Graham King, Producer",The Departed,True,
8832,2007,2008,80,DIRECTING,Joel Coen and Ethan Coen,No Country for Old Men,True,
8869,2007,2008,80,BEST PICTURE,"Scott Rudin, Ethan Coen and Joel Coen, Producers",No Country for Old Men,True,
8947,2008,2009,81,DIRECTING,Danny Boyle,Slumdog Millionaire,True,
8982,2008,2009,81,BEST PICTURE,"Christian Colson, Producer",Slumdog Millionaire,True,
9058,2009,2010,82,DIRECTING,Kathryn Bigelow,The Hurt Locker,True,tt0887912
9099,2009,2010,82,BEST PICTURE,"Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers",The Hurt Locker,True,tt0887912
9182,2010,2011,83,DIRECTING,Tom Hooper,The King's Speech,True,
9221,2010,2011,83,BEST PICTURE,"Iain Canning, Emile Sherman and Gareth Unwin, Producers",The King's Speech,True,
9306,2011,2012,84,DIRECTING,Michel Hazanavicius,The Artist,True,tt1655442
9341,2011,2012,84,BEST PICTURE,"Thomas Langmann, Producer",The Artist,True,tt1655442
9425,2012,2013,85,DIRECTING,Ang Lee,Life of Pi,True,
9462,2012,2013,85,BEST PICTURE,"Grant Heslov, Ben Affleck and George Clooney, Producers",Argo,True,tt1024648
9550,2013,2014,86,DIRECTING,Alfonso Cuarón,Gravity,True,tt1454468
9594,2013,2014,86,BEST PICTURE,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers",12 Years a Slave,True,
9675,2014,2015,87,DIRECTING,Alejandro G. Iñárritu,Birdman or (The Unexpected Virtue of Ignorance),True,
9714,2014,2015,87,BEST PICTURE,"Alejandro G. Iñárritu, John Lesher and James W. Skotchdopole, Producers",Birdman or (The Unexpected Virtue of Ignorance),True,
9802,2015,2016,88,DIRECTING,Alejandro G. Iñárritu,The Revenant,True,tt1336006
9845,2015,2016,88,BEST PICTURE,"Michael Sugar, Steve Golin, Nicole Rocklin and Blye Pagon Faust, Producers",Spotlight,True,
9926,2016,2017,89,DIRECTING,Damien Chazelle,La La Land,True,tt3783958
9970,2016,2017,89,BEST PICTURE,"Adele Romanski, Dede Gardner and Jeremy Kleiner, Producers",Moonlight,True,tt4975722
10054,2017,2018,90,DIRECTING,Guillermo del Toro,The Shape of Water,True,
10095,2017,2018,90,BEST PICTURE,"Guillermo del Toro and J. Miles Dale, Producers",The Shape of Water,True,
10180,2018,2019,91,DIRECTING,Alfonso Cuarón,Roma,True,tt6155172
10219,2018,2019,91,BEST PICTURE,"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly and Nick Vallelonga, Producers",Green Book,True,tt6966692
10306,2019,2020,92,DIRECTING,Bong Joon Ho,Parasite,True,tt6751668
10350,2019,2020,92,BEST PICTURE,"Kwak Sin Ae and Bong Joon Ho, Producers",Parasite,True,tt6751668
